name	link	author	description	location	pct_funded	amt_pledged	units_left	unit
Laura Holliday Time Bomb	http://www.kickstarter.com/projects/abroadchurch/laura-holliday-time-bomb?ref=ending_soon	A Broad Church	A project to support my first ever record release. Excited? Just a wee bit.	Idyllwild, CA	120	3000	11	min
THE (MOSTLY) MUNDANE LIFE OF MURPHY FROM PA	http://www.kickstarter.com/projects/1204490315/the-mostly-mundane-life-of-murphy-from-pa?ref=ending_soon	Jason Ryan Yamas	Murphy is my first feature, an experiment in narrative, built entirely of improv, true humans, real places, organic moments and deamons	Brooklyn, NY	104	3130	38	min
Steve Eck and the Midnight Still:The latest album on vinyl!	http://www.kickstarter.com/projects/722407830/steve-eck-and-the-midnight-still-the-latest-album?ref=ending_soon	steve eck	Put "Drag It Out, Burn It Down", the latest album from Steve Eck and the Midnight Still, on vinyl.	New Orleans, LA	17	690	58	min
DAMP PATCHES - A Book Project	http://www.kickstarter.com/projects/aprilvg/damp-patches-a-book-project?ref=ending_soon	April Gertler	DAMP PATCHES, an artist book which connects photographic details of a city with collages and drawings of the female form.	Berlin, Germany	111	3787	58	min
VIVA - Latin bites with a jazzy flavor!	http://www.kickstarter.com/projects/mauramendoza/viva-latin-bites-with-a-jazzy-flavor?ref=ending_soon	Maura Mendoza	My experience in different cities, among inspiring people, love & many adventures. Music to enjoy with your favorite cup of something!	Cambridge, MA	123	6150	1	hour
JESUS E. LEE #1. First Divine Issue!	http://www.kickstarter.com/projects/44044151/jesus-e-lee-1-first-divine-issue?ref=ending_soon	Nick Justus	Imagine a hero who is still discovering the somewhat limitless range of their powers, and you're right along side them for the ride!	Florham Park, NJ	103	1550	1	hour
Small Sur's new full-length album!	http://www.kickstarter.com/projects/smallsur/small-surs-new-full-length-album?ref=ending_soon	Small Sur	Small Sur's new album, "Tones," is finished and ready to accompany you on your road trips this summer! Help offset the up-front costs!	Baltimore, MD	115	1151	2	hour
The Long Island Sound: An Exploration Of Punk Culture	http://www.kickstarter.com/projects/lipunkfilms/the-long-island-sound-an-exploration-of-punk-cultu?ref=ending_soon	Jonathan Greco	The Long Island Sound: An Exploration Of Punk Culture is an in depth look at the surging punk scene on Long Island.	Port Jefferson, NY	83	1670	2	hour
PIG - A Mystery, A Puzzle, A Mind-Game Film	http://www.kickstarter.com/projects/327746769/pig-a-mystery-a-puzzle-a-mind-game-film?ref=ending_soon	Mark Stolaroff	PIG is a nearly-finished feature film seeking funds to complete post production and for marketing. It's a mystery and a puzzle.	Los Angeles, CA	109	16367	2	hour
LA May Day Festival	http://www.kickstarter.com/projects/1799047801/la-may-day-festival?ref=ending_soon	Tiffany & Juli	The LA May Day Festival is a free music and arts festival that aims to promote a greater sense of community in celebrating May Day.	Los Angeles, CA	51	1553	2	hour
