amt1	num1	amt2	num2
10	0	25	28
5	7	10	8
10	21	25	35
1	10	25	43
1	2	5	1
5	2	10	13
1	5	25	7
1	1	5	0
5	1	15	7
5	0	10	1
5	4	10	22
1	0	4	0
10	21	25	18
10	17	25	6
1	6	15	6
5	0	10	8
15	3	25	13
10	13	25	9
34	118	68	0
10	6	25	20
5	0	10	7
1	1	10	6
1	1	25	0
15	17	30	11
25	8	50	4
7	3	12	2
1	19	10	30
2	0	10	2
1	0	5	7
10	6	25	21
1	9	20	4
20	5	50	5
1	1	5	1
5	17	10	19
10	4	25	17
10	44	25	42
50	4	100	0
5	10	20	13
20	6	100	6
2	6	10	2
5	3	10	6
1	21	25	47
1	3	5	3
10	3	25	12
3	2	5	7
1	2	1	1
5	1	20	4
1	3	2	5
1	2	25	13
5	13	10	5
10	11	25	24
25	15	200	3
10	23	25	39
1	4	5	2
10	4	25	38
2	2	5	3
1	1	3	1
1	0	5	11
1	2	15	1
10	0	10	3
5	25	15	11
5	12	10	11
5	0	10	4
10	44	25	41
20	8	50	4
5	12	10	11
1	0	2	2
1	1	5	9
1	3	5	3
1	5	10	18
1	0	5	5
1	2	5	0
1	0	5	3
1	2	5	5
15	24	60	22
1	1653	35	351
1	5	10	20
5	10	25	19
1	1	10	1
1	1	2	1
11	0	21	8
10	1	25	6
1	10	10	23
1	9	50	17
1	4	5	12
10	2	30	2
10	4	20	13
5	0	20	1
1	2	6	0
5	9	15	9
3	19	8	21
24	22	54	10
5	2	10	0
22	6	55	9
1	3	5	2
5	5	10	21
15	6	30	12
10	3	25	5
1	0	2	0
1	2	25	2
1	1	10	2
10	32	25	51
10	16	100	4
5	0	10	3
5	1	25	3
15	4	35	57
5	5	10	4
1	0	5	0
10	1	25	11
1	11	10	7
5	6	10	11
1	0	5	6
1	35	5	6
1	1	5	1
5	2	20	5
5	1	10	1
1	0	5	1
1	7	25	6
2	5	10	3
11	12	24	15
10	80	25	65
1	4	25	9
1	6	10	35
5	1	10	2
1	0	5	1
1	0	5	3
10	2	20	5
25	10	50	6
20	9	30	7
1	0	5	0
1	4	5	2
10	11	25	9
5	3	15	50
1	3	5	1
1	9	10	8
5	6	15	6
1	0	5	7
1	2	10	11
1	0	5	1
5	0	15	1
5	8	25	20
1	2	5	10
5	6	25	5
1	1	10	8
25	40	50	11
125	17	250	0
5	5	10	21
1	0	20	5
10	3	30	6
5	3	15	7
5	5	20	2
1	1	5	3
1	14	35	23
20	13	50	6
1	1	5	5
5	4	10	9
100	0	200	5
10	6	25	7
10	3	25	7
5	0	10	0
5	3	10	4
5	4	10	7
1	1	1	7
1	0	10	4
3	15	8	40
1	0	5	2
2	4	5	28
4	5	10	22
1	8	25	32
10	4	25	6
20	0	100	0
10	1	20	25
1	0	5	1
1	2	10	4
10	1	25	6
20	4	45	5
10	7	30	26
1	1	2	0
1	8	20	7
10	5	25	10
10	7	35	2
10	7	50	7
1	0	5	4
25	4	25	17
5	2	10	3
5	1	20	5
5	1	10	1
10	27	20	15
10	6	15	19
5	4	18	2
25	14	50	25
5	9	20	41
1	1	10	6
1	20	25	13
1	6	25	18
1	1	5	7
10	2	40	12
10	12	30	27
1	1	5	0
15	5	30	11
1	5	5	17
5	1	25	5
10	7	20	2
5	8	25	6
1	1	5	1
5	1	10	6
1	2	10	3
1	4	25	20
1	1	5	5
10	1	25	3
5	31	10	49
10	3	25	5
5	1	10	3
1	1	15	28
25	98	40	12
5	5	10	25
1	0	5	10
10	8	25	26
1	0	7	4
1	1	10	2
1	3	10	7
10	8	25	16
1	1	10	12
1	47	25	140
20	4	40	10
5	1	15	5
15	22	40	4
10	9	20	40
5	3	10	7
5	5	10	3
1	2	5	1
10	14	30	51
10	2	25	4
10	7	20	22
10	6	25	22
1	1	10	6
10	7	20	18
1	0	5	4
10	4	25	9
12	4	28	20
10	8	25	9
1	1	5	41
10	8	25	48
1	1	5	1
2	6	3	1
5	1	15	2
10	2	25	19
25	6	150	3
1	10	10	19
10	17	25	21
1	1	15	13
5	2	10	4
25	25	75	6
1	0	10	8
1	1	5	7
2	14	20	11
1	1	15	5
5	25	21	22
10	12	25	22
5	7	25	45
6	0	12	2
5	3	20	2
1	2	5	5
7	5	17	6
5	0	10	54
1	1	5	4
13	14	50	15
5	6	25	7
10	4	20	11
10	5	25	13
10	3	20	11
1	0	10	1
20	8	100	4
25	3	50	3
5	1	10	12
5	1	15	3
20	1	38	22
10	3	25	16
4	1	5	9
1	4	5	2
25	5	25	9
15	9	29	23
9	14	13	3
1	7	5	7
1	0	10	2
1	0	10	5
1	6	25	28
1	3	5	3
1	0	10	2
1	2	10	5
1	3	24	5
10	6	25	18
1	1	5	1
1	1	5	2
25	10	50	2
12	44	50	21
10	3	20	8
